Name,Latitude,Longitude,Population
Woodward,36.4227,-99.2651,20591
Woods,36.7669,-98.8651,8731
Washita,35.2904,-98.9922,11014
Washington,36.7152,-95.9044,52382
Wagoner,35.9611,-95.5212,80509
Tulsa,36.1211,-95.9415,664084
Tillman,34.3728,-98.9242,7070
Texas,36.7479,-101.4901,21448
Stephens,34.4856,-97.8515,42983
Sequoyah,35.4953,-94.7552,39652
Seminole,35.1675,-96.6155,23798
Rogers,36.3715,-95.6043,94637
Roger Mills,35.6883,-99.6958,3477
Pushmataha,34.4162,-95.3759,10891
Pottawatomie,35.2066,-96.9484,72331
Pontotoc,34.728,-96.6844,38102
Pittsburg,34.9239,-95.7484,43836
Payne,36.0773,-96.9756,81817
Pawnee,36.3169,-96.6992,15687
Ottawa,36.8355,-94.8104,30568
Osage,36.6292,-96.3985,46140
Okmulgee,35.6466,-95.9643,37046
Oklahoma,35.5515,-97.4072,790938
Okfuskee,35.4655,-96.3228,11444
Nowata,36.7985,-95.6174,9484
Noble,36.3886,-97.2305,11020
Muskogee,35.6161,-95.3795,66881
Murray,34.4823,-97.0679,13874
McIntosh,35.3736,-95.6668,19105
McCurtain,34.1154,-94.7713,31112
McClain,35.0093,-97.4443,41258
Mayes,36.3019,-95.2307,39303
Marshall,34.0245,-96.7691,15361
Major,36.3116,-98.5359,7753
Love,33.9499,-97.2441,10105
Logan,35.9193,-97.4433,49005
Lincoln,35.703,-96.8809,33650
Le Flore,34.9003,-94.7034,48436
Latimer,34.876,-95.2504,9555
Kiowa,34.9164,-98.9809,8518
Kingfisher,35.9454,-97.9421,15272
Kay,36.818,-97.1439,44019
Johnston,34.3165,-96.6606,10446
Jefferson,34.111,-97.8358,5491
Jackson,34.588,-99.4148,24960
Hughes,35.0484,-96.2502,13406
Haskell,35.2248,-95.1166,11711
Harper,36.7888,-99.6673,3358
Harmon,34.7441,-99.8462,2540
Greer,34.9357,-99.5608,5548
Grant,36.7961,-97.7861,4166
Grady,35.0169,-97.8841,54739
Garvin,34.7046,-97.3093,25949
Garfield,36.3791,-97.7827,62628
Ellis,36.2184,-99.7546,3813
Dewey,35.9876,-99.0079,4548
Delaware,36.4082,-94.8026,40688
Custer,35.6388,-99.0015,28564
Creek,35.9026,-96.3709,71879
Craig,36.7618,-95.2085,14172
Cotton,34.2902,-98.3722,5603
Comanche,34.6621,-98.4717,121502
Coal,34.5882,-96.2978,5294
Cleveland,35.2031,-97.3265,292110
Cimarron,36.7483,-102.5178,2271
Choctaw,34.0266,-95.5522,14307
Cherokee,35.9067,-94.9997,47307
Carter,34.2509,-97.2858,48102
Canadian,35.5424,-97.9824,151174
Caddo,35.1744,-98.3751,27253
Bryan,33.9623,-96.2598,45809
Blaine,35.8752,-98.4334,8799
Beckham,35.2687,-99.682,22349
Beaver,36.7497,-100.4768,5100
Atoka,34.3736,-96.0378,14080
Alfalfa,36.731,-98.324,5744
Adair,35.8839,-94.6587,19839