Name,2023 Temperature Value,2023 Temperature Rank,Temperature Anomaly (1901-2000 base period),Temperature 1901-2000 Mean
Adair County,78.2,115,2.1,76
Alfalfa County,79.2,97,1.1,78.1
Atoka County,81.8,118,2.6,79.2
Beaver County,76.8,80,0.4,76.4
Beckham County,80.2,110,2,78.2
Blaine County,79.7,96,1.4,78.3
Bryan County,83.1,120,3.2,79.9
Caddo County,80.6,106,1.9,78.6
Canadian County,79.8,97,1.4,78.4
Carter County,82.4,117,2.3,80.1
Cherokee County,78.7,98,1.4,77.3
Choctaw County,82,119,2.9,79.1
Cimarron County,73.6,74,0.4,73.2
Cleveland County,80.4,103,1.6,78.7
Coal County,81.7,115,2.4,79.3
Comanche County,82.1,119,2.7,79.4
Cotton County,83.9,124,3.3,80.6
Craig County,78.2,92,0.8,77.4
Creek County,79.2,90,0.8,78.3
Custer County,79.6,100,1.6,78.1
Delaware County,77.8,98,1.2,76.5
Dewey County,78.7,98,1.2,77.5
Ellis County,77.6,91,0.9,76.6
Garfield County,79.6,99,1.4,78.2
Garvin County,81.7,114,2.1,79.5
Grady County,80.8,112,2.2,78.6
Grant County,79.4,101,1.3,78.1
Greer County,81.7,118,2.4,79.3
Harmon County,82.6,123,3.1,79.6
Harper County,77.4,70,0.1,77.3
Haskell County,80.4,106,1.8,78.6
Hughes County,80.5,109,1.7,78.7
Jackson County,83.2,123,3,80.2
Jefferson County,83.6,118,2.8,80.8
Johnston County,82.4,118,2.9,79.5
Kay County,79.4,106,1.4,77.9
Kingfisher County,80.2,96,1,79.1
Kiowa County,81.6,116,2.4,79.2
Latimer County,79.8,106,1.8,78
Le Flore County,79.4,115,2.1,77.3
Lincoln County,79.8,94,0.8,78.9
Logan County,80,97,1.2,78.8
Love County,83.4,118,2.8,80.6
McClain County,80.8,113,1.9,78.8
McCurtain County,80,118,2.5,77.4
McIntosh County,80.2,95,1.2,79
Major County,79.4,95,1,78.3
Marshall County,83.2,118,3,80.2
Mayes County,78.8,90,0.8,78
Murray County,82,116,2.5,79.5
Muskogee County,80,92,1.1,78.8
Noble County,79.8,107,1.6,78.3
Nowata County,78.5,90,0.8,77.6
Okfuskee County,79.7,91,1,78.7
Oklahoma County,79.9,98,1.2,78.8
Okmulgee County,79.6,87,0.6,79
Osage County,78.7,97,1.1,77.6
Ottawa County,78.4,106,1.7,76.7
Pawnee County,79.5,99,1.3,78.2
Payne County,79.8,105,1.4,78.4
Pittsburg County,80.4,103,1.5,78.8
Pontotoc County,81.5,117,2.5,79
Pottawatomie County,80.5,103,1.5,78.9
Pushmataha County,80.4,115,2.4,77.9
Roger Mills County,78.9,102,1.4,77.4
Rogers County,79.1,91,1,78.2
Seminole County,80.5,108,1.7,78.8
Sequoyah County,80.2,116,2.2,78
Stephens County,82.1,117,2.5,79.6
Texas County,75.8,79,0.4,75.4
Tillman County,84,125,3.4,80.5
Tulsa County,79.4,87,0.9,78.5
Wagoner County,79.6,86,0.8,78.8
Washington County,78.7,95,1.1,77.6
Washita County,80.3,105,1.7,78.6
Woods County,78.1,82,0.5,77.6
Woodward County,77.8,84,0.6,77.2